turn,noodling_cumulative,baseline_cumulative,noodling_per_turn,baseline_per_turn
785,2237250,7928500,2850,19900
786,2240100,7948425,2850,19925
787,2242950,7968375,2850,19950
788,2245800,7988350,2850,19975
789,2248650,8008350,2850,20000
790,2251500,8028375,2850,20025
791,2254350,8048425,2850,20050
792,2257200,8068500,2850,20075
793,2260050,8088600,2850,20100
794,2262900,8108725,2850,20125
795,2265750,8128875,2850,20150
796,2268600,8149050,2850,20175
797,2271450,8169250,2850,20200
798,2274300,8189475,2850,20225
799,2277150,8209725,2850,20250
800,2280000,8230000,2850,20275
801,2282850,8250300,2850,20300
802,2285700,8270625,2850,20325
803,2288550,8290975,2850,20350
804,2291400,8311350,2850,20375
805,2294250,8331750,2850,20400
806,2297100,8352175,2850,20425
807,2299950,8372625,2850,20450
808,2302800,8393100,2850,20475
809,2305650,8413600,2850,20500
810,2308500,8434125,2850,20525
811,2311350,8454675,2850,20550
812,2314200,8475250,2850,20575
813,2317050,8495850,2850,20600
814,2319900,8516475,2850,20625
815,2322750,8537125,2850,20650
816,2325600,8557800,2850,20675
817,2328450,8578500,2850,20700
818,2331300,8599225,2850,20725
819,2334150,8619975,2850,20750
820,2337000,8640750,2850,20775
821,2339850,8661550,2850,20800
822,2342700,8682375,2850,20825
823,2345550,8703225,2850,20850
824,2348400,8724100,2850,20875
825,2351250,8745000,2850,20900
826,2354100,8765925,2850,20925
827,2356950,8786875,2850,20950
828,2359800,8807850,2850,20975
829,2362650,8828850,2850,21000
830,2365500,8849875,2850,21025
831,2368350,8870925,2850,21050
832,2371200,8892000,2850,21075
833,2374050,8913100,2850,21100
834,2376900,8934225,2850,21125
835,2379750,8955375,2850,21150
836,2382600,8976550,2850,21175
837,2385450,8997750,2850,21200
838,2388300,9018975,2850,21225
839,2391150,9040225,2850,21250
840,2394000,9061500,2850,21275
841,2396850,9082800,2850,21300
842,2399700,9104125,2850,21325
843,2402550,9125475,2850,21350
844,2405400,9146850,2850,21375
845,2408250,9168250,2850,21400
846,2411100,9189675,2850,21425
847,2413950,9211125,2850,21450
848,2416800,9232600,2850,21475
849,2419650,9254100,2850,21500
850,2422500,9275625,2850,21525
851,2425350,9297175,2850,21550
852,2428200,9318750,2850,21575
853,2431050,9340350,2850,21600
854,2433900,9361975,2850,21625
855,2436750,9383625,2850,21650
856,2439600,9405300,2850,21675
857,2442450,9427000,2850,21700
858,2445300,9448725,2850,21725
859,2448150,9470475,2850,21750
860,2451000,9492250,2850,21775
861,2453850,9514050,2850,21800
862,2456700,9535875,2850,21825
863,2459550,9557725,2850,21850
864,2462400,9579600,2850,21875
865,2465250,9601500,2850,21900
866,2468100,9623425,2850,21925
867,2470950,9645375,2850,21950
868,2473800,9667350,2850,21975
869,2476650,9689350,2850,22000
870,2479500,9711375,2850,22025
871,2482350,9733425,2850,22050
872,2485200,9755500,2850,22075
873,2488050,9777600,2850,22100
874,2490900,9799725,2850,22125
875,2493750,9821875,2850,22150
876,2496600,9844050,2850,22175
877,2499450,9866250,2850,22200
878,2502300,9888475,2850,22225
879,2505150,9910725,2850,22250
880,2508000,9933000,2850,22275
881,2510850,9955300,2850,22300
882,2513700,9977625,2850,22325
883,2516550,9999975,2850,22350
884,2519400,10022350,2850,22375
885,2522250,10044750,2850,22400
886,2525100,10067175,2850,22425
887,2527950,10089625,2850,22450
888,2530800,10112100,2850,22475
889,2533650,10134600,2850,22500
890,2536500,10157125,2850,22525
891,2539350,10179675,2850,22550
892,2542200,10202250,2850,22575
893,2545050,10224850,2850,22600
894,2547900,10247475,2850,22625
895,2550750,10270125,2850,22650
896,2553600,10292800,2850,22675
897,2556450,10315500,2850,22700
898,2559300,10338225,2850,22725
899,2562150,10360975,2850,22750
900,2565000,10383750,2850,22775
901,2567850,10406550,2850,22800
902,2570700,10429375,2850,22825
903,2573550,10452225,2850,22850
904,2576400,10475100,2850,22875
905,2579250,10498000,2850,22900
